county,municipality,0-17,of_which_unaccompanied_minors,18-19,of_which_unaccompanied_minors.1,20-64,of_which_unaccompanied_minors.2,>64,of_which_unaccompanied_minors.3,total,of_which_unaccompanied_minors.4
,NORDMALING,13.0,8.0,3.0,0.0,28.0,0.0,1.0,0.0,45.0,8.0
,NORSJÖ,19.0,8.0,1.0,0.0,15.0,0.0,0.0,0.0,35.0,8.0
,ROBERTSFORS,15.0,4.0,0.0,0.0,22.0,0.0,0.0,0.0,37.0,4.0
,SKELLEFTEÅ,82.0,16.0,12.0,5.0,172.0,3.0,5.0,0.0,271.0,24.0
,SORSELE,27.0,8.0,3.0,0.0,13.0,0.0,1.0,0.0,44.0,8.0
,STORUMAN,32.0,5.0,4.0,2.0,23.0,0.0,1.0,0.0,60.0,7.0
,UMEÅ,89.0,16.0,3.0,0.0,89.0,1.0,4.0,0.0,185.0,17.0
,VILHELMINA,46.0,8.0,2.0,0.0,41.0,1.0,0.0,0.0,89.0,9.0
,VINDELN,26.0,8.0,1.0,0.0,16.0,0.0,0.0,0.0,43.0,8.0
,VÄNNÄS,13.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,1.0
,ÅSELE,17.0,5.0,3.0,1.0,9.0,0.0,0.0,0.0,29.0,6.0
VÄSTERBOTTENS LÄN,Delsumma,469.0,106.0,35.0,8.0,511.0,6.0,12.0,0.0,1027.0,120.0
VÄSTERNORRLANDS LÄN,HÄRNÖSAND,169.0,8.0,12.0,1.0,265.0,1.0,4.0,0.0,450.0,10.0
,KRAMFORS,60.0,7.0,9.0,2.0,152.0,2.0,0.0,0.0,221.0,11.0
,SOLLEFTEÅ,78.0,10.0,12.0,0.0,219.0,1.0,2.0,0.0,311.0,11.0
,SUNDSVALL,153.0,19.0,13.0,2.0,216.0,3.0,6.0,0.0,388.0,24.0
,TIMRÅ,27.0,10.0,3.0,1.0,36.0,2.0,0.0,0.0,66.0,13.0
,ÅNGE,11.0,4.0,4.0,3.0,17.0,0.0,0.0,0.0,32.0,7.0
,ÖRNSKÖLDSVIK,106.0,16.0,8.0,2.0,190.0,0.0,0.0,0.0,304.0,18.0
VÄSTERNORRLANDS LÄN,Delsumma,604.0,74.0,61.0,11.0,1095.0,9.0,12.0,0.0,1772.0,94.0
VÄSTMANLANDS LÄN,ARBOGA,71.0,6.0,3.0,0.0,112.0,1.0,0.0,0.0,186.0,7.0
,FAGERSTA,87.0,5.0,8.0,1.0,148.0,1.0,4.0,0.0,247.0,7.0
,HALLSTAHAMMAR,47.0,9.0,6.0,0.0,48.0,1.0,0.0,0.0,101.0,10.0
,KUNGSÖR,51.0,8.0,2.0,0.0,54.0,0.0,0.0,0.0,107.0,8.0
,KÖPING,57.0,8.0,6.0,1.0,86.0,0.0,2.0,0.0,151.0,9.0
,NORBERG,30.0,11.0,1.0,0.0,69.0,0.0,0.0,0.0,100.0,11.0
,SALA,83.0,11.0,4.0,1.0,76.0,0.0,2.0,0.0,165.0,12.0
,SKINNSKATTEBERG,25.0,13.0,0.0,0.0,16.0,0.0,0.0,0.0,41.0,13.0
,SURAHAMMAR,22.0,5.0,1.0,1.0,50.0,0.0,1.0,0.0,74.0,6.0
,VÄSTERÅS,222.0,47.0,27.0,4.0,419.0,1.0,16.0,0.0,684.0,52.0
VÄSTMANLANDS LÄN,Delsumma,695.0,123.0,58.0,8.0,1078.0,4.0,25.0,0.0,1856.0,135.0
VÄSTRA GÖTALANDS LÄN,ALE,39.0,3.0,1.0,0.0,28.0,1.0,1.0,0.0,69.0,4.0
,ALINGSÅS,71.0,6.0,3.0,0.0,89.0,0.0,1.0,0.0,164.0,6.0
